label,source,label_predicted,correct,perplexity,text
human,"Reymont – Chłopi, Jesień (1904), Boryna na miedzy",ai,False,29.1891,Chłopi siedzieli przed chatami na przyźbach i gwarzyło się po wszystkich wsiach 
human,"Orzeszkowa – W klatce (1888), scena w wagonie",human,True,54.7345,"Było to w miesiącu Wrześniu, przy schyłku krótkiego jesiennego dnia. Przed jedną"
human,"Orzeszkowa – Gloria victis (1910), wiatr nad mogiłą",human,True,50.4606,Wiatr prędki już nie płakał. Kryształowe ciało jego wstawać poczęło nad wzgórzem
human,"Konopnicka – Wrażenia z podróży (1884), o parasolach",human,True,60.6036,"Jeżeli kochasz przyrodę i chcesz wypatrzyć jej tajemnicze piękności, i posłyszeć"
human,"Przybyszewski – Moi współcześni (1926), o artyście",human,True,84.24,"Byłem dotychczas wrogiem historyków literatury, którzy grzebali w duszy i życiu "
ai,,ai,True,21.9102,"Stara kamienica przy ulicy Wiślanej skrywała wiele tajemnic. Jej mury, pamiętają"
ai,,human,False,47.3501,"Jesień przyszła nagle, jak zwykle zresztą, ignorując wszelkie kalendarze i progn"
ai,,ai,True,27.678,"Rzeka płynęła spokojnie między wierzbami, niosąc ze sobą liście i wspomnienia la"
ai,,ai,True,36.6942,Doktor Henryk Wiśniewski był człowiekiem zasad. Przez trzydzieści lat pracy w sz
ai,,ai,True,27.2622,W małym miasteczku nad Narwią czas płynął inaczej niż w wielkich miastach. Sklep
ai,,ai,True,29.759,"Biblioteka miejska zamykała się o osiemnastej. Marcin wiedział o tym doskonale, "
ai,,ai,True,37.043,Górskie schronisko otwierało się pierwszego maja i zamykało z końcem września. P
ai,,ai,True,33.9295,"Marta wróciła do rodzinnego domu po pięciu latach. Dom wyglądał mniejszy, niż go"
ai,,ai,True,30.8353,"Na dworcu kolejowym w Krakowie, tuż przed świtem, kiedy hala była jeszcze niemal"
ai,,ai,True,34.2348,"Zima przyszła wcześniej niż zwykle, przynosząc śnieg już w połowie listopada. Dl"
ai,,ai,True,32.4596,"Apteka przy Rynku działała od osiemdziesięciu lat bez przerwy, przez dwie wojny "
ai,,ai,True,22.165,Drzwi do pracowni były zawsze zamknięte. Nikt z domowników nie wchodził tam bez 
ai,,ai,True,31.0145,"Most nad Wisłą był najstarszą budowlą w okolicy. Mówiono, że pamięta czasy rozbi"
ai,,ai,True,30.6605,Pociąg do Gdańska odjeżdżał o szóstej czterdzieści pięć. Beata kupiła bilet z ty
ai,,ai,True,29.1352,"Lekcja historii zaczęła się o ósmej rano. Nauczyciel, pan Lewandowski, miał sześ"
ai,,ai,True,33.0861,"Ogród przy starej willi był zaniedbany od lat. Rosły tam dzikie różane krzewy, b"
ai,,ai,True,34.91,"Sylwia wróciła do pracy po urlopie macierzyńskim z uczuciem, które trudno opisać"
ai,,ai,True,34.7582,"Wieczorami, gdy miasto cichnęło i przez uchylone okno wpadało powietrze pachniąc"
ai,,ai,True,25.8444,Stary zegarmistrz miał swój sklep przy tej samej ulicy od czterdziestu lat. Jego
ai,,ai,True,30.0839,Targ odbywał się w Lipcowie w każdą sobotę od niepamiętnych czasów. Przyjeżdżali
ai,,ai,True,22.6844,Wspomnienia wracają najczęściej w nieoczekiwanych momentach. Ewa stała w kolejce
ai,,ai,True,22.0083,"Najstarsza córka wróciła po raz ostatni do domu w grudniu. Wiedziała, że to osta"
human,"Sienkiewicz – Potop t.3 (1886), Karol Gustaw w Prusach",human,True,76.8423,"W czasie gdy w Rzeczypospolitej wszystko, co żyło, siadało na koń, Karol Gustaw "
ai,,ai,True,32.7956,Listopadowe popołudnie zaciemniło miasto szybciej niż zwykle. O piętnastej było 
ai,,ai,True,22.0068,"Szkoła, do której Piotruś chodził od pierwszej klasy, stała na końcu ulicy Lipow"
ai,,ai,True,29.8843,"Księżyc świecił jasno tej nocy, rzucając srebrne refleksy na spokojną taflę jezi"
human,Fikcja stylizowana XIX w. (przypadek graniczny),human,True,42.3665,Rok 1812 nastąpił. Napoleon wyruszył z wojskiem ku Rosji. Wojsko polskie towarzy
ai,Claude — proza psychologiczna (Aleksandra),ai,True,19.1146,"Aleksandra poczuła, że coś się zmieniło, zanim jeszcze zdążyła to nazwać. Może t"
human,"Mickiewicz — Pan Tadeusz, Inwokacja",human,True,130.4099,Kraj lat dziecinnych! On zawsze zostanie Święty i czysty jak pierwsze kochanie. 
ai,Claude — opis kamienicy (Helena),ai,True,38.3718,"Dom przy Królewskiej stał od trzydziestu lat i wyglądał na to, że stać będzie ko"
ai,Claude — scena wiejska styl Reymont (Stach),ai,True,22.207,Stach wyszedł ze stajni i rozejrzał po obejściu. Słońce już chyliło się ku zacho
human,"Reymont — Ziemia obiecana, Bauer i Łódź",ai,False,37.0574,Ziemia obiecana była wszędzie i nigdzie. Bauer patrzył na kominy fabryczne sterc
human,"Mickiewicz — Pan Tadeusz, Ksiądz Robak",ai,False,37.5315,Ksiądz Robak siedział w cieniu lip klasztornych i czytał brewiarz. Liście drżały
ai,Claude — proza minimalistyczna (Michał),ai,True,27.7588,"Michał wrócił do domu o ósmej. Zdjął buty przy wejściu, powiesił kurtkę na haczy"
human,Zapolska — Moralność pani Dulskiej,ai,False,27.2905,Przez całą noc pani Dulska nie spała. Leżała w łóżku z otwartymi oczyma i liczył
human,"Orzeszkowa — Nad Niemnem, Justyna",ai,False,29.2082,"Nad Niemnem płynął spokojnie, niosąc na swojej szerokiej tafli odbicia nieba i b"
ai,Claude — dialog w kawiarni (poeci),ai,True,26.7196,"Poeta przyszedł do Poety w południe. Tak zaczyna się wiele historii, które potem"
human,"Reymont — Ziemia obiecana, fabryka Müllera",human,True,48.8756,"Łódź kipiała życiem fabrycznym. Z kominów buchał dym, a tkackie maszyny dudniły "
ai,Claude — pisarka przy biurku (Anna),human,False,45.3277,"Anna zamknęła książkę i spojrzała za okno. Śnieg padał od rana, cicho i konsekwe"
human,"Mickiewicz — Pan Tadeusz, Jacek Soplica",human,True,56.3518,Jacek Soplica — kto o nim nie słyszał w powiecie? Zwano go niegdyś Niedźwiedziem
human,"Sienkiewicz — W pustyni i w puszczy, Stasio i Nel",ai,False,39.1861,"Stasio Tarkowski miał czternaście lat i od dawna wiedział, że zostanie podróżnik"
human,"Tetmajer/Witkiewicz — motyw góralski, Sabała",human,True,75.1465,"Górale znali te szlaki od pokoleń. Ojciec uczył syna, dziad uczył ojca — skałka "
ai,Claude — powrót do wsi po latach (Piotr),ai,True,27.0214,"Piotr wrócił do wioski po piętnastu latach. Droga była ta sama, tylko drzewa po "
ai,"Claude — opis rzeczki, proza poetycka",ai,True,40.9141,Rzeczka pod lasem nosiła w sobie pamięć całej wsi. Każde pokolenie przychodziło 
human,"Proza XIX w. — salon towarzyski, Księżna Izabela",human,True,64.1094,Księżna Izabela przyjmowała gości we wtorki. Salon był odpowiednio urządzony do 
ai,"Claude — bezsenność, proza psychologiczna (Marta)",ai,True,34.8756,Marta długo nie mogła zasnąć. Leżała na plecach w ciemnościach i słuchała odgłos
human,"Sienkiewicz — Krzyżacy, Grunwald",human,True,59.8201,Na polach pod Grunwaldem leżała cicha ziemia. Krzyżacy ciągnęli z zachodu w szyk
ai,Claude — kamienica wielorodzinna przy Złotej,human,False,41.0623,"Kamienica przy Złotej miała cztery piętra i dwadzieścia trzy mieszkania, i tyle "
human,"Witkiewicz — Na przełęczy, Tatry o świcie",human,True,43.4365,"Tatry o świcie miały w sobie coś z objawienia. Witkiewicz chodził tam od lat, al"
ai,Claude — portret nauczyciela historii (Radwan),ai,True,34.5758,Profesor Radwan miał sześćdziesiąt lat i od czterdziestu uczył historii w tej sa
human,"Reymont — Chłopi, praca na roli (Antek)",human,True,48.087,Antek wyrósł na polu. Ojciec zabrał go do roboty jak miał sześć lat — jeszcze po
ai,Claude — portret zakonnicy-nauczycielki (Klara),ai,True,21.607,Siostra Klara prowadziła szkółkę od lat trzydziestu. Dzieci przychodziły różne —
human,Proza ludowa — babka Agnieszka i wnuk Jasiek,ai,False,35.0967,W izbie było zimno i pachniało smołą i suszonymi grzybami. Babka Agnieszka siedz
human,Kochanowski — Treny VIII (fragment adaptowany),human,True,122.1654,"Wielka mi to ulga w płaczu i w żalu, Że po wszytkich stronach w smętnym tym nied"
ai,"Claude — spotkanie w parku, romans (Zofia)",ai,True,40.0405,"Zofię poznał w maju. To było w parku, przy fontannie, która nie działała od lat "
human,"Orzeszkowa — Nad Niemnem, Tadeusz i rzeka",ai,False,34.4952,Rzeka Niemno wiła się przez kraj jak żyła przez ciało. Tadeusz Korczyński znał k
